Bunker Buster VIP,Subtronics
This Is Fine.,The Caracal Project
Solomon,Phace
Untouchable,Kompany
Cyclops Rocks VIP,Subtronics
MetaFractal VIP,Subtronics
Hieroglyph VIP,Subtronics
MetaFractal (MUST DIE! Remix),Subtronics
Survive,Space Laces
Bugbass,Space Laces
Brainstorm,SVDDEN DEATH
Elephant In the Room,6LACK
Outside,6LACK
Cobalt,KOAN Sound
Tears,Skrillex
XENA,Skrillex
Inhale Exhale,Skrillex
Still Here,Skrillex
Good Space,Skrillex
No More Parties in LA,Tory Lanez
Hennessy Memories,Tory Lanez
Why Did I,Tory Lanez
Rich Flex,Drake
Major Distribution,Drake
On BS,Drake
Circo Loco,Drake
Treacherous Twin,Drake
Pussy & Millions,Drake
Superhero,Metro Boomin
Too Many Nights,Metro Boomin
Raindrops,Metro Boomin
Umbrella,Metro Boomin
Trance,Metro Boomin
Around Me,Metro Boomin
Metro Spider,Metro Boomin
I Can't Save You,Metro Boomin
Creepin',Metro Boomin
Niagra Falls,Metro Boomin
Lock On Me,Metro Boomin
After That,Future
Hardly,Future
Codeine Crazy,Future
St. Lucia,Future
Extra,Future
712PM,Future
Venture X Extended,Paul Van Dyk
Cabin fever (Kompany Remix),Subtronics
Never hating,Lil Baby
Purity,Ekali
Anomaly (Annix Remix),Noisia
Machine Gun (Icicle Remix),Noisia
Asteroids (Tsuruda Remix),Noisia
Diplodocus (Host Remix),Noisia
Stigma (Billain Remix),Noisia
The Tide (Former Tunnel Version),Noisia
Pleasure Mantra (Sorza's Combined Remix),Noisia
Confusion Spell,SVDDEN DEATH
Artemis,Saka
Origami,IMANU
1000 year reign,IMANU
Breathe (Mefjus & Camo & Krooked Remix),The Prodigy
Program (Sleepnet Remix),Noisia
My World (Jon Casey Remix),Noisia
Revolution,John Summit
Dance or Die,Green Velvet
Reverie,Kream
Fractions,Vintage Culture
Agape,Vintage Culture
Main Ingredients,Matroda
Temperature,Matroda
Turn on the lights again.. (Solomun remix),fred again..
Eyes on Fire (Zeds Dead remix),Blue Foundation
Caps Lock,Noisia
Cleansing,Noisia
Collider,Shadient
Divide & Conquer (Noisia Remix),What So Not
Fade,Shadient
Farewell,Buunshin
Flatline,Blanke
Flourish,Moore Kismet
Halcyon,Noisia
Horizon,Skrillex
I'm Okay,Buunshin
Los Recuerdos,Alon Mor
Love [in every single way],Jaron
Low,Oliver Heldens
Mafia,Travis Scott
Need & pleasure,Blanke
Overture,Camo & Krooked
Pillow Talk,IMANU
Presudeos,Alon Mor
Progress,Moore Kismet
Scrapped,Noisia
Stuck,Spencer Brown
Supeersonic (VIP),Noisia
Surface,Blanke
Survivor's Guilt,Saba
Take me daydreaming and don't look backwards,Jaron
Turn on the lights again..,fred again..
Vendetta For Cupid,Moore Kismet
Wasteland,Moore Kismet
Wordless,Noisia